Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
51,FED_20161228b_3T2,2,B,52,138,138.003448657,2,1.99865433600007,Agent,1,passive,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_52.jpg,Agent_passive_52.jpg
,FED_20161228b_3T2,2,B,NA,140,140.002672307,2,1.9995414089999,0,NA,,NA,NA,NA,NA,NA,,
52,FED_20161228b_3T2,2,B,15,142,142.002792977,2,1.99907725499997,Agent,0,active,Kyle Square is balancing Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_15.jpg,Agent_active_15.jpg
,FED_20161228b_3T2,2,B,NA,144,144.002507497001,2,2.00012906699976,0,NA,,NA,NA,NA,NA,NA,,
53,FED_20161228b_3T2,2,B,16,146,146.003274071,2,1.99982210899998,Patient,0,active,Lily Triangle is stopping Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_16.jpg,Patient_active_16.jpg
,FED_20161228b_3T2,2,B,NA,148,148.003651886001,2,1.99842517999969,0,NA,,NA,NA,NA,NA,NA,,
54,FED_20161228b_3T2,2,B,47,150,150.002666607001,2,2.00037824899937,Agent,1,passive,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_47.jpg,Agent_passive_47.jpg
,FED_20161228b_3T2,2,B,NA,152,152.003612060001,2,1.99868510299984,0,NA,,NA,NA,NA,NA,NA,,
55,FED_20161228b_3T2,2,B,28,154,154.002927813,2,2.00002651100021,Patient,1,passive,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_28.jpg,Patient_passive_28.jpg
56,FED_20161228b_3T2,2,B,56,156,156.003547459,2,1.99986329100011,Agent,0,active,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle,Base_active_56.jpg,Agent_active_56.jpg
