Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
32,FED_20161114d_3T1_redo,2,C,20,86,86.0024913320003,2,2.00006393999956,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg
33,FED_20161114d_3T1_redo,2,C,48,88,88.0031225450002,2,1.99887023099927,Patient,0,active,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star,Base_active_48.jpg,Patient_active_48.jpg
,FED_20161114d_3T1_redo,2,C,NA,90,90.0025580780002,4,3.99971510999967,0,NA,,NA,NA,NA,NA,NA,,
34,FED_20161114d_3T1_redo,2,C,6,94,94.0028632329995,2,2.00010113999997,Agent,1,passive,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval,Base_passive_6.jpg,Agent_passive_6.jpg
,FED_20161114d_3T1_redo,2,C,NA,96,96.0035178990001,2,1.99911141199937,0,NA,,NA,NA,NA,NA,NA,,
35,FED_20161114d_3T1_redo,2,C,30,98,98.0032122749999,2,1.99938309400022,Patient,0,active,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_30.jpg,Patient_active_30.jpg
36,FED_20161114d_3T1_redo,2,C,24,100,100.003158918,2,1.99916302099973,Patient,0,active,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_active_24.jpg,Patient_active_24.jpg
37,FED_20161114d_3T1_redo,2,C,29,102,102.00286153,2,2.00033972500023,Agent,1,passive,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_29.jpg,Agent_passive_29.jpg
,FED_20161114d_3T1_redo,2,C,NA,104,104.003821129,6,5.99890641399998,0,NA,,NA,NA,NA,NA,NA,,
38,FED_20161114d_3T1_redo,2,C,32,110,110.00332555,2,1.99916667499929,Agent,1,passive,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_32.jpg,Agent_passive_32.jpg
39,FED_20161114d_3T1_redo,2,C,10,112,112.003098174,2,1.99944868999955,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg
40,FED_20161114d_3T1_redo,2,C,28,114,114.003151695,2,1.99909689800006,Agent,0,active,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_28.jpg,Agent_active_28.jpg
41,FED_20161114d_3T1_redo,2,C,14,116,116.002827341,2,1.99988439800018,Patient,1,passive,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_14.jpg,Patient_passive_14.jpg
42,FED_20161114d_3T1_redo,2,C,21,118,118.003347146,2,1.99917982499937,Agent,1,passive,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_21.jpg,Agent_passive_21.jpg
,FED_20161114d_3T1_redo,2,C,NA,120,120.003133699,4,3.99928619000002,0,NA,,NA,NA,NA,NA,NA,,
43,FED_20161114d_3T1_redo,2,C,52,124,124.003050338,2,1.99942667899995,Agent,1,passive,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_52.jpg,Agent_passive_52.jpg
,FED_20161114d_3T1_redo,2,C,NA,126,126.003066295,2,1.99954228599927,0,NA,,NA,NA,NA,NA,NA,,
44,FED_20161114d_3T1_redo,2,C,3,128,128.003226927,2,1.99973580200003,Agent,0,active,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_3.jpg,Agent_active_3.jpg
,FED_20161114d_3T1_redo,2,C,NA,130,130.003522746,6,5.99958276199959,0,NA,,NA,NA,NA,NA,NA,,
45,FED_20161114d_3T1_redo,2,C,55,136,136.003680445,2,1.99852681299944,Patient,1,passive,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_55.jpg,Patient_passive_55.jpg
46,FED_20161114d_3T1_redo,2,C,26,138,138.002785395,2,1.99913055600064,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg
,FED_20161114d_3T1_redo,2,C,NA,140,140.002594047,2,1.99933512600001,0,NA,,NA,NA,NA,NA,NA,,
47,FED_20161114d_3T1_redo,2,C,12,142,142.00261245,2,2.0001667939996,Patient,0,active,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_12.jpg,Patient_active_12.jpg
48,FED_20161114d_3T1_redo,2,C,16,144,144.003326931,2,1.99871231799989,Agent,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Agent_passive_16.jpg
49,FED_20161114d_3T1_redo,2,C,31,146,146.002685457,2,2.00067805300023,Agent,1,passive,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square,Base_passive_31.jpg,Agent_passive_31.jpg
,FED_20161114d_3T1_redo,2,C,NA,148,148.003954282,2,1.99869356100044,0,NA,,NA,NA,NA,NA,NA,,
50,FED_20161114d_3T1_redo,2,C,44,150,150.003223779,2,1.99868311599948,Agent,0,active,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_44.jpg,Agent_active_44.jpg
,FED_20161114d_3T1_redo,2,C,NA,152,152.00258012,2,2.00018627499958,0,NA,,NA,NA,NA,NA,NA,,
51,FED_20161114d_3T1_redo,2,C,39,154,154.003332192,2,1.99856256099974,Patient,0,active,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval,Base_active_39.jpg,Patient_active_39.jpg
,FED_20161114d_3T1_redo,2,C,NA,156,156.002582907,2,2.00007863599967,0,NA,,NA,NA,NA,NA,NA,,
52,FED_20161114d_3T1_redo,2,C,57,158,158.00323361,2,1.99874518899924,Agent,0,active,Melissa Oval is shaking Zach Star.,Melissa,Oval,Zach,Star,Base_active_57.jpg,Agent_active_57.jpg
53,FED_20161114d_3T1_redo,2,C,46,160,160.002574377,2,1.99934082099935,Patient,1,passive,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_46.jpg,Patient_passive_46.jpg
54,FED_20161114d_3T1_redo,2,C,5,162,162.002589635,2,1.99947268699998,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg
55,FED_20161114d_3T1_redo,2,C,22,164,164.002729109,2,2.00022121799975,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg
,FED_20161114d_3T1_redo,2,C,NA,166,166.003501005,2,1.99816929600001,0,NA,,NA,NA,NA,NA,NA,,
56,FED_20161114d_3T1_redo,2,C,34,168,168.002216293,2,2.00077289500041,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg
,FED_20161114d_3T1_redo,2,C,NA,170,170.003662031,4,3.99770640599945,0,NA,,NA,NA,NA,NA,NA,,
57,FED_20161114d_3T1_redo,2,C,10,174,174.001912793,2,2.00106590300038,Patient,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Patient_passive_10.jpg
58,FED_20161114d_3T1_redo,2,C,51,176,176.003670702,2,1.99819781600036,Patient,0,active,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star,Base_active_51.jpg,Patient_active_51.jpg
59,FED_20161114d_3T1_redo,2,C,12,178,178.002401742,2,1.99964266200004,Agent,0,active,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_12.jpg,Agent_active_12.jpg
